Trace1,
Freq,,Amp,,
              100000,Hz,              -12.65, dBm,
             5433166,Hz,              -17.90, dBm,
            10766332,Hz,              -19.98, dBm,
            16099498,Hz,              -20.70, dBm,
            21432664,Hz,              -21.46, dBm,
            26765830,Hz,              -22.19, dBm,
            32098996,Hz,              -22.83, dBm,
            37432162,Hz,              -23.28, dBm,
            42765328,Hz,              -23.45, dBm,
            48098494,Hz,              -23.32, dBm,
            53431660,Hz,              -23.01, dBm,
            58764826,Hz,              -22.55, dBm,
            64097992,Hz,              -21.90, dBm,
            69431158,Hz,              -21.22, dBm,
            74764324,Hz,              -20.65, dBm,
            80097490,Hz,              -20.24, dBm,
            85430656,Hz,              -20.12, dBm,
            90763822,Hz,              -20.10, dBm,
            96096988,Hz,              -20.30, dBm,
           101430154,Hz,              -20.80, dBm,
           106763320,Hz,              -21.39, dBm,
           112096486,Hz,              -22.03, dBm,
           117429652,Hz,              -22.69, dBm,
           122762818,Hz,              -23.22, dBm,
           128095984,Hz,              -23.60, dBm,
           133429150,Hz,              -23.79, dBm,
           138762316,Hz,              -23.68, dBm,
           144095482,Hz,              -23.37, dBm,
           149428648,Hz,              -22.91, dBm,
           154761814,Hz,              -22.36, dBm,
           160094980,Hz,              -21.80, dBm,
           165428146,Hz,              -21.32, dBm,
           170761312,Hz,              -20.98, dBm,
           176094478,Hz,              -20.83, dBm,
           181427644,Hz,              -20.80, dBm,
           186760810,Hz,              -20.89, dBm,
           192093976,Hz,              -21.23, dBm,
           197427142,Hz,              -21.76, dBm,
           202760308,Hz,              -22.29, dBm,
           208093474,Hz,              -22.86, dBm,
           213426640,Hz,              -23.34, dBm,
           218759806,Hz,              -23.69, dBm,
           224092972,Hz,              -23.90, dBm,
           229426138,Hz,              -23.91, dBm,
           234759304,Hz,              -23.64, dBm,
           240092470,Hz,              -23.25, dBm,
           245425636,Hz,              -22.78, dBm,
           250758802,Hz,              -22.29, dBm,
           256091968,Hz,              -21.84, dBm,
           261425134,Hz,              -21.47, dBm,
           266758300,Hz,              -21.25, dBm,
           272091466,Hz,              -21.20, dBm,
           277424632,Hz,              -21.22, dBm,
           282757798,Hz,              -21.46, dBm,
           288090964,Hz,              -21.90, dBm,
           293424130,Hz,              -22.38, dBm,
           298757296,Hz,              -22.91, dBm,
           304090462,Hz,              -23.37, dBm,
           309423628,Hz,              -23.74, dBm,
           314756794,Hz,              -23.93, dBm,
           320089960,Hz,              -23.92, dBm,
           325423126,Hz,              -23.71, dBm,
           330756292,Hz,              -23.36, dBm,
           336089458,Hz,              -22.88, dBm,
           341422624,Hz,              -22.38, dBm,
           346755790,Hz,              -21.86, dBm,
           352088956,Hz,              -21.46, dBm,
           357422122,Hz,              -21.22, dBm,
