Trace1,
Freq,,Amp,,
              100000,Hz,              -19.10, dBm,
             5433166,Hz,              -64.75, dBm,
            10766332,Hz,              -64.47, dBm,
            16099498,Hz,              -65.91, dBm,
            21432664,Hz,              -58.17, dBm,
            26765830,Hz,              -58.19, dBm,
            32098996,Hz,              -58.24, dBm,
            37432162,Hz,              -61.01, dBm,
            42765328,Hz,              -60.65, dBm,
            48098494,Hz,              -57.87, dBm,
            53431660,Hz,              -58.04, dBm,
            58764826,Hz,              -61.21, dBm,
            64097992,Hz,              -57.10, dBm,
            69431158,Hz,              -54.07, dBm,
            74764324,Hz,              -54.04, dBm,
            80097490,Hz,              -54.48, dBm,
            85430656,Hz,              -51.99, dBm,
            90763822,Hz,              -54.74, dBm,
            96096988,Hz,              -61.56, dBm,
           101430154,Hz,              -62.41, dBm,
           106763320,Hz,              -62.95, dBm,
           112096486,Hz,              -63.76, dBm,
           117429652,Hz,              -65.74, dBm,
           122762818,Hz,              -62.32, dBm,
           128095984,Hz,              -64.77, dBm,
           133429150,Hz,              -65.34, dBm,
           138762316,Hz,              -62.34, dBm,
           144095482,Hz,              -56.53, dBm,
           149428648,Hz,              -57.18, dBm,
           154761814,Hz,              -59.72, dBm,
           160094980,Hz,              -58.41, dBm,
           165428146,Hz,              -57.84, dBm,
           170761312,Hz,              -57.88, dBm,
           176094478,Hz,              -55.27, dBm,
           181427644,Hz,              -55.45, dBm,
           186760810,Hz,              -58.17, dBm,
           192093976,Hz,              -62.76, dBm,
           197427142,Hz,              -59.40, dBm,
           202760308,Hz,              -63.20, dBm,
           208093474,Hz,              -66.02, dBm,
           213426640,Hz,              -65.13, dBm,
           218759806,Hz,              -63.60, dBm,
           224092972,Hz,              -61.42, dBm,
           229426138,Hz,              -61.50, dBm,
           234759304,Hz,              -59.68, dBm,
           240092470,Hz,              -59.75, dBm,
           245425636,Hz,              -61.22, dBm,
           250758802,Hz,              -63.46, dBm,
           256091968,Hz,              -61.36, dBm,
           261425134,Hz,              -62.08, dBm,
           266758300,Hz,              -64.66, dBm,
           272091466,Hz,              -65.37, dBm,
           277424632,Hz,              -62.53, dBm,
           282757798,Hz,              -63.88, dBm,
           288090964,Hz,              -61.21, dBm,
           293424130,Hz,              -62.49, dBm,
           298757296,Hz,              -62.54, dBm,
           304090462,Hz,              -63.65, dBm,
           309423628,Hz,              -63.41, dBm,
           314756794,Hz,              -61.40, dBm,
           320089960,Hz,              -61.48, dBm,
           325423126,Hz,              -60.78, dBm,
           330756292,Hz,              -58.21, dBm,
           336089458,Hz,              -59.35, dBm,
           341422624,Hz,              -60.06, dBm,
           346755790,Hz,              -60.70, dBm,
           352088956,Hz,              -61.02, dBm,
           357422122,Hz,              -62.50, dBm,
           362755288,Hz,              -64.38, dBm,
           368088454,Hz,              -63.55, dBm,
           373421620,Hz,              -63.37, dBm,
           378754786,Hz,              -61.76, dBm,
           384087952,Hz,              -58.46, dBm,
           389421118,Hz,              -54.85, dBm,
           394754284,Hz,              -53.92, dBm,
           400087450,Hz,              -51.53, dBm,
           405420616,Hz,              -47.80, dBm,
           410753782,Hz,              -47.50, dBm,
           416086948,Hz,              -50.05, dBm,
           421420114,Hz,              -54.05, dBm,
           426753280,Hz,              -55.34, dBm,
           432086446,Hz,              -55.79, dBm,
           437419612,Hz,              -57.62, dBm,
           442752778,Hz,              -57.06, dBm,
           448085944,Hz,              -56.19, dBm,
           453419110,Hz,              -55.75, dBm,
           458752276,Hz,              -58.25, dBm,
           464085442,Hz,              -58.79, dBm,
           469418608,Hz,              -59.76, dBm,
           474751774,Hz,              -61.68, dBm,
           480084940,Hz,              -59.30, dBm,
           485418106,Hz,              -55.78, dBm,
           490751272,Hz,              -55.38, dBm,
           496084438,Hz,              -51.17, dBm,
           501417604,Hz,              -47.21, dBm,
           506750770,Hz,              -46.89, dBm,
           512083936,Hz,              -47.20, dBm,
           517417102,Hz,              -44.32, dBm,
           522750268,Hz,              -43.23, dBm,
           528083434,Hz,              -44.48, dBm,
           533416600,Hz,              -48.79, dBm,
           538749766,Hz,              -50.92, dBm,
           544082932,Hz,              -52.96, dBm,
           549416098,Hz,              -58.14, dBm,
           554749264,Hz,              -59.91, dBm,
           560082430,Hz,              -54.89, dBm,
           565415596,Hz,              -52.99, dBm,
           570748762,Hz,              -50.75, dBm,
           576081928,Hz,              -46.17, dBm,
           581415094,Hz,              -45.04, dBm,
           586748260,Hz,              -45.25, dBm,
           592081426,Hz,              -43.85, dBm,
           597414592,Hz,              -44.10, dBm,
           602747758,Hz,              -44.44, dBm,
           608080924,Hz,              -46.89, dBm,
           613414090,Hz,              -48.11, dBm,
           618747256,Hz,              -48.30, dBm,
           624080422,Hz,              -52.14, dBm,
           629413588,Hz,              -53.38, dBm,
           634746754,Hz,              -52.32, dBm,
           640079920,Hz,              -53.02, dBm,
           645413086,Hz,              -55.32, dBm,
           650746252,Hz,              -54.11, dBm,
           656079418,Hz,              -52.20, dBm,
           661412584,Hz,              -53.36, dBm,
           666745750,Hz,              -51.36, dBm,
           672078916,Hz,              -50.18, dBm,
           677412082,Hz,              -50.38, dBm,
           682745248,Hz,              -51.01, dBm,
           688078414,Hz,              -46.16, dBm,
           693411580,Hz,              -44.39, dBm,
           698744746,Hz,              -43.86, dBm,
