Trace1,
Freq,,Amp,,
                   0,Hz,              -13.09, dBm,
             5333333,Hz,              -64.60, dBm,
            10666666,Hz,              -67.76, dBm,
            15999999,Hz,              -67.10, dBm,
            21333332,Hz,              -67.21, dBm,
            26666665,Hz,              -68.69, dBm,
            31999998,Hz,              -69.30, dBm,
            37333331,Hz,              -71.22, dBm,
            42666664,Hz,              -69.63, dBm,
            47999997,Hz,              -71.35, dBm,
            53333330,Hz,              -71.17, dBm,
            58666663,Hz,              -70.00, dBm,
            63999996,Hz,              -69.39, dBm,
            69333329,Hz,              -71.55, dBm,
            74666662,Hz,              -70.35, dBm,
            79999995,Hz,              -69.88, dBm,
            85333328,Hz,              -63.77, dBm,
            90666661,Hz,              -69.96, dBm,
            95999994,Hz,              -70.52, dBm,
           101333327,Hz,              -69.16, dBm,
           106666660,Hz,              -71.78, dBm,
           111999993,Hz,              -70.39, dBm,
           117333326,Hz,              -71.88, dBm,
           122666659,Hz,              -70.47, dBm,
           127999992,Hz,              -68.00, dBm,
           133333325,Hz,              -69.66, dBm,
           138666658,Hz,              -66.20, dBm,
           143999991,Hz,              -71.43, dBm,
           149333324,Hz,              -71.34, dBm,
           154666657,Hz,              -67.58, dBm,
           159999990,Hz,              -70.04, dBm,
           165333323,Hz,              -69.48, dBm,
           170666656,Hz,              -68.82, dBm,
           175999989,Hz,              -62.97, dBm,
           181333322,Hz,              -69.27, dBm,
           186666655,Hz,              -67.93, dBm,
           191999988,Hz,              -67.21, dBm,
           197333321,Hz,              -54.15, dBm,
           202666654,Hz,              -64.60, dBm,
           207999987,Hz,              -68.90, dBm,
           213333320,Hz,              -68.55, dBm,
           218666653,Hz,              -70.19, dBm,
           223999986,Hz,              -66.86, dBm,
           229333319,Hz,              -69.37, dBm,
           234666652,Hz,              -68.75, dBm,
           239999985,Hz,              -69.09, dBm,
           245333318,Hz,              -68.00, dBm,
           250666651,Hz,              -67.11, dBm,
           255999984,Hz,              -68.72, dBm,
           261333317,Hz,              -68.53, dBm,
           266666650,Hz,              -67.54, dBm,
           271999983,Hz,              -68.57, dBm,
           277333316,Hz,              -68.54, dBm,
           282666649,Hz,              -68.93, dBm,
           287999982,Hz,              -68.88, dBm,
           293333315,Hz,              -68.19, dBm,
           298666648,Hz,              -67.52, dBm,
           303999981,Hz,              -69.01, dBm,
           309333314,Hz,              -68.38, dBm,
           314666647,Hz,              -66.47, dBm,
           319999980,Hz,              -69.34, dBm,
           325333313,Hz,              -69.96, dBm,
           330666646,Hz,              -68.62, dBm,
           335999979,Hz,              -65.73, dBm,
           341333312,Hz,              -67.86, dBm,
           346666645,Hz,              -68.73, dBm,
           351999978,Hz,              -67.66, dBm,
           357333311,Hz,              -68.88, dBm,
           362666644,Hz,              -67.24, dBm,
           367999977,Hz,              -67.82, dBm,
           373333310,Hz,              -67.87, dBm,
           378666643,Hz,              -68.63, dBm,
           383999976,Hz,              -68.29, dBm,
           389333309,Hz,              -67.83, dBm,
           394666642,Hz,              -67.92, dBm,
           399999975,Hz,              -70.40, dBm,
           405333308,Hz,              -68.64, dBm,
           410666641,Hz,              -70.12, dBm,
           415999974,Hz,              -69.58, dBm,
           421333307,Hz,              -67.31, dBm,
           426666640,Hz,              -68.49, dBm,
           431999973,Hz,              -70.64, dBm,
           437333306,Hz,              -69.43, dBm,
           442666639,Hz,              -70.15, dBm,
           447999972,Hz,              -69.00, dBm,
           453333305,Hz,              -67.44, dBm,
           458666638,Hz,              -69.74, dBm,
           463999971,Hz,              -69.21, dBm,
           469333304,Hz,              -68.59, dBm,
           474666637,Hz,              -68.54, dBm,
           479999970,Hz,              -67.65, dBm,
           485333303,Hz,              -71.21, dBm,
           490666636,Hz,              -69.35, dBm,
           495999969,Hz,              -67.44, dBm,
           501333302,Hz,              -68.36, dBm,
           506666635,Hz,              -68.40, dBm,
           511999968,Hz,              -70.88, dBm,
           517333301,Hz,              -70.96, dBm,
           522666634,Hz,              -68.68, dBm,
           527999967,Hz,              -61.11, dBm,
           533333300,Hz,              -63.09, dBm,
           538666633,Hz,              -62.06, dBm,
           543999966,Hz,              -68.63, dBm,
           549333299,Hz,              -70.74, dBm,
           554666632,Hz,              -68.52, dBm,
           559999965,Hz,              -69.11, dBm,
           565333298,Hz,              -61.65, dBm,
           570666631,Hz,              -63.06, dBm,
           575999964,Hz,              -69.13, dBm,
           581333297,Hz,              -68.96, dBm,
           586666630,Hz,              -57.83, dBm,
           591999963,Hz,              -56.87, dBm,
           597333296,Hz,              -65.55, dBm,
           602666629,Hz,              -70.70, dBm,
           607999962,Hz,              -70.65, dBm,
           613333295,Hz,              -56.66, dBm,
           618666628,Hz,              -60.00, dBm,
           623999961,Hz,              -71.80, dBm,
           629333294,Hz,              -69.91, dBm,
           634666627,Hz,              -70.31, dBm,
           639999960,Hz,              -63.32, dBm,
           645333293,Hz,              -68.47, dBm,
           650666626,Hz,              -70.02, dBm,
           655999959,Hz,              -70.06, dBm,
           661333292,Hz,              -69.38, dBm,
           666666625,Hz,              -70.99, dBm,
           671999958,Hz,              -69.17, dBm,
           677333291,Hz,              -70.44, dBm,
           682666624,Hz,              -67.52, dBm,
           687999957,Hz,              -68.27, dBm,
           693333290,Hz,              -71.56, dBm,
           698666623,Hz,              -70.22, dBm,
           703999956,Hz,              -70.07, dBm,
           709333289,Hz,              -70.63, dBm,
           714666622,Hz,              -69.45, dBm,
           719999955,Hz,              -68.46, dBm,
           725333288,Hz,              -69.07, dBm,
           730666621,Hz,              -71.36, dBm,
           735999954,Hz,              -69.10, dBm,
           741333287,Hz,              -69.83, dBm,
           746666620,Hz,              -70.66, dBm,
           751999953,Hz,              -68.72, dBm,
           757333286,Hz,              -69.17, dBm,
           762666619,Hz,              -69.47, dBm,
           767999952,Hz,              -69.71, dBm,
           773333285,Hz,              -67.75, dBm,
           778666618,Hz,              -69.13, dBm,
           783999951,Hz,              -71.07, dBm,
           789333284,Hz,              -59.27, dBm,
           794666617,Hz,              -58.54, dBm,
           799999950,Hz,              -54.17, dBm,
           805333283,Hz,              -53.63, dBm,
           810666616,Hz,              -56.78, dBm,
           815999949,Hz,              -60.61, dBm,
           821333282,Hz,              -70.07, dBm,
           826666615,Hz,              -67.84, dBm,
           831999948,Hz,              -68.90, dBm,
           837333281,Hz,              -69.78, dBm,
           842666614,Hz,              -71.57, dBm,
           847999947,Hz,              -68.20, dBm,
           853333280,Hz,              -70.14, dBm,
           858666613,Hz,              -68.38, dBm,
           863999946,Hz,              -71.27, dBm,
           869333279,Hz,              -70.29, dBm,
           874666612,Hz,              -71.97, dBm,
           879999945,Hz,              -70.67, dBm,
           885333278,Hz,              -68.69, dBm,
           890666611,Hz,              -68.93, dBm,
           895999944,Hz,              -69.54, dBm,
           901333277,Hz,              -70.35, dBm,
           906666610,Hz,              -70.12, dBm,
           911999943,Hz,              -69.20, dBm,
           917333276,Hz,              -69.58, dBm,
           922666609,Hz,              -67.20, dBm,
           927999942,Hz,              -69.28, dBm,
           933333275,Hz,              -57.78, dBm,
           938666608,Hz,              -55.97, dBm,
           943999941,Hz,              -61.36, dBm,
           949333274,Hz,              -65.69, dBm,
           954666607,Hz,              -63.58, dBm,
           959999940,Hz,              -69.96, dBm,
           965333273,Hz,              -68.88, dBm,
           970666606,Hz,              -69.50, dBm,
           975999939,Hz,              -70.03, dBm,
           981333272,Hz,              -69.96, dBm,
           986666605,Hz,              -70.53, dBm,
           991999938,Hz,              -68.87, dBm,
           997333271,Hz,              -69.42, dBm,
          1002666604,Hz,              -69.13, dBm,
          1007999937,Hz,              -66.73, dBm,
          1013333270,Hz,              -69.02, dBm,
          1018666603,Hz,              -69.26, dBm,
          1023999936,Hz,              -70.49, dBm,
          1029333269,Hz,              -69.44, dBm,
          1034666602,Hz,              -69.89, dBm,
          1039999935,Hz,              -68.03, dBm,
          1045333268,Hz,              -69.09, dBm,
          1050666601,Hz,              -70.34, dBm,
          1055999934,Hz,              -68.53, dBm,
          1061333267,Hz,              -68.19, dBm,
          1066666600,Hz,              -68.82, dBm,
          1071999933,Hz,              -68.16, dBm,
          1077333266,Hz,              -65.20, dBm,
          1082666599,Hz,              -66.64, dBm,
          1087999932,Hz,              -68.54, dBm,
          1093333265,Hz,              -67.39, dBm,
          1098666598,Hz,              -69.12, dBm,
          1103999931,Hz,              -69.71, dBm,
          1109333264,Hz,              -67.51, dBm,
          1114666597,Hz,              -68.46, dBm,
          1119999930,Hz,              -68.15, dBm,
          1125333263,Hz,              -66.59, dBm,
          1130666596,Hz,              -67.73, dBm,
          1135999929,Hz,              -68.75, dBm,
          1141333262,Hz,              -69.33, dBm,
          1146666595,Hz,              -67.13, dBm,
          1151999928,Hz,              -68.22, dBm,
          1157333261,Hz,              -65.44, dBm,
          1162666594,Hz,              -67.99, dBm,
          1167999927,Hz,              -69.01, dBm,
          1173333260,Hz,              -66.27, dBm,
          1178666593,Hz,              -66.66, dBm,
          1183999926,Hz,              -65.64, dBm,
          1189333259,Hz,              -69.72, dBm,
          1194666592,Hz,              -69.46, dBm,
          1199999925,Hz,              -68.61, dBm,
          1205333258,Hz,              -66.37, dBm,
          1210666591,Hz,              -70.34, dBm,
          1215999924,Hz,              -67.77, dBm,
          1221333257,Hz,              -67.87, dBm,
          1226666590,Hz,              -68.50, dBm,
          1231999923,Hz,              -66.27, dBm,
          1237333256,Hz,              -67.50, dBm,
          1242666589,Hz,              -67.62, dBm,
          1247999922,Hz,              -68.23, dBm,
          1253333255,Hz,              -67.65, dBm,
          1258666588,Hz,              -67.86, dBm,
          1263999921,Hz,              -67.99, dBm,
          1269333254,Hz,              -66.96, dBm,
          1274666587,Hz,              -65.66, dBm,
          1279999920,Hz,              -66.69, dBm,
          1285333253,Hz,              -66.86, dBm,
          1290666586,Hz,              -69.25, dBm,
          1295999919,Hz,              -69.92, dBm,
          1301333252,Hz,              -66.62, dBm,
          1306666585,Hz,              -69.24, dBm,
          1311999918,Hz,              -68.35, dBm,
          1317333251,Hz,              -68.98, dBm,
          1322666584,Hz,              -66.88, dBm,
          1327999917,Hz,              -66.47, dBm,
          1333333250,Hz,              -68.19, dBm,
          1338666583,Hz,              -67.43, dBm,
          1343999916,Hz,              -68.05, dBm,
          1349333249,Hz,              -67.66, dBm,
          1354666582,Hz,              -66.95, dBm,
          1359999915,Hz,              -69.38, dBm,
          1365333248,Hz,              -66.87, dBm,
          1370666581,Hz,              -67.59, dBm,
          1375999914,Hz,              -69.24, dBm,
          1381333247,Hz,              -66.95, dBm,
          1386666580,Hz,              -68.50, dBm,
          1391999913,Hz,              -67.18, dBm,
          1397333246,Hz,              -70.08, dBm,
          1402666579,Hz,              -68.68, dBm,
          1407999912,Hz,              -70.18, dBm,
          1413333245,Hz,              -66.03, dBm,
          1418666578,Hz,              -68.42, dBm,
          1423999911,Hz,              -67.58, dBm,
          1429333244,Hz,              -67.44, dBm,
          1434666577,Hz,              -69.15, dBm,
          1439999910,Hz,              -69.22, dBm,
          1445333243,Hz,              -68.46, dBm,
          1450666576,Hz,              -68.73, dBm,
          1455999909,Hz,              -67.93, dBm,
          1461333242,Hz,              -66.53, dBm,
          1466666575,Hz,              -68.77, dBm,
          1471999908,Hz,              -70.01, dBm,
          1477333241,Hz,              -67.30, dBm,
          1482666574,Hz,              -68.02, dBm,
          1487999907,Hz,              -70.34, dBm,
          1493333240,Hz,              -64.30, dBm,
          1498666573,Hz,              -67.27, dBm,
          1503999906,Hz,              -66.67, dBm,
          1509333239,Hz,              -69.77, dBm,
          1514666572,Hz,              -69.29, dBm,
          1519999905,Hz,              -66.84, dBm,
          1525333238,Hz,              -68.21, dBm,
          1530666571,Hz,              -67.83, dBm,
          1535999904,Hz,              -68.67, dBm,
          1541333237,Hz,              -69.10, dBm,
          1546666570,Hz,              -67.37, dBm,
          1551999903,Hz,              -68.74, dBm,
          1557333236,Hz,              -69.39, dBm,
          1562666569,Hz,              -68.76, dBm,
          1567999902,Hz,              -69.30, dBm,
          1573333235,Hz,              -67.83, dBm,
          1578666568,Hz,              -67.22, dBm,
          1583999901,Hz,              -67.55, dBm,
          1589333234,Hz,              -65.16, dBm,
          1594666567,Hz,              -69.31, dBm,
          1599999900,Hz,              -70.34, dBm,
          1605333233,Hz,              -67.89, dBm,
          1610666566,Hz,              -68.97, dBm,
          1615999899,Hz,              -68.23, dBm,
          1621333232,Hz,              -67.84, dBm,
          1626666565,Hz,              -67.14, dBm,
          1631999898,Hz,              -69.31, dBm,
          1637333231,Hz,              -68.79, dBm,
          1642666564,Hz,              -68.01, dBm,
          1647999897,Hz,              -65.20, dBm,
          1653333230,Hz,              -68.83, dBm,
          1658666563,Hz,              -67.51, dBm,
          1663999896,Hz,              -67.44, dBm,
          1669333229,Hz,              -66.74, dBm,
          1674666562,Hz,              -67.75, dBm,
          1679999895,Hz,              -66.90, dBm,
          1685333228,Hz,              -68.01, dBm,
          1690666561,Hz,              -66.95, dBm,
          1695999894,Hz,              -66.43, dBm,
          1701333227,Hz,              -67.47, dBm,
          1706666560,Hz,              -68.99, dBm,
          1711999893,Hz,              -67.25, dBm,
          1717333226,Hz,              -68.73, dBm,
          1722666559,Hz,              -67.73, dBm,
          1727999892,Hz,              -69.18, dBm,
          1733333225,Hz,              -69.64, dBm,
          1738666558,Hz,              -68.97, dBm,
          1743999891,Hz,              -67.43, dBm,
          1749333224,Hz,              -66.96, dBm,
          1754666557,Hz,              -67.46, dBm,
          1759999890,Hz,              -68.30, dBm,
          1765333223,Hz,              -68.27, dBm,
          1770666556,Hz,              -67.39, dBm,
          1775999889,Hz,              -67.37, dBm,
          1781333222,Hz,              -67.86, dBm,
          1786666555,Hz,              -67.02, dBm,
          1791999888,Hz,              -67.16, dBm,
          1797333221,Hz,              -68.18, dBm,
          1802666554,Hz,              -63.62, dBm,
          1807999887,Hz,              -67.56, dBm,
          1813333220,Hz,              -69.29, dBm,
          1818666553,Hz,              -65.20, dBm,
          1823999886,Hz,              -67.65, dBm,
          1829333219,Hz,              -69.11, dBm,
          1834666552,Hz,              -62.57, dBm,
          1839999885,Hz,              -48.52, dBm,
          1845333218,Hz,              -66.02, dBm,
          1850666551,Hz,              -67.27, dBm,
          1855999884,Hz,              -69.12, dBm,
          1861333217,Hz,              -68.93, dBm,
