Trace1,
Freq,,Amp,,
              100000,Hz,              -26.90, dBm,
             5433166,Hz,              -47.41, dBm,
            10766332,Hz,              -43.91, dBm,
            16099498,Hz,              -41.48, dBm,
            21432664,Hz,              -39.60, dBm,
            26765830,Hz,              -38.24, dBm,
            32098996,Hz,              -36.86, dBm,
            37432162,Hz,              -35.81, dBm,
            42765328,Hz,              -34.89, dBm,
            48098494,Hz,              -34.02, dBm,
            53431660,Hz,              -33.30, dBm,
            58764826,Hz,              -32.53, dBm,
            64097992,Hz,              -31.87, dBm,
            69431158,Hz,              -31.24, dBm,
            74764324,Hz,              -30.66, dBm,
            80097490,Hz,              -30.18, dBm,
            85430656,Hz,              -29.70, dBm,
            90763822,Hz,              -29.31, dBm,
            96096988,Hz,              -28.91, dBm,
           101430154,Hz,              -28.52, dBm,
           106763320,Hz,              -28.14, dBm,
           112096486,Hz,              -27.79, dBm,
           117429652,Hz,              -27.44, dBm,
           122762818,Hz,              -27.14, dBm,
           128095984,Hz,              -26.82, dBm,
           133429150,Hz,              -26.53, dBm,
           138762316,Hz,              -26.23, dBm,
           144095482,Hz,              -26.00, dBm,
           149428648,Hz,              -25.75, dBm,
           154761814,Hz,              -25.51, dBm,
           160094980,Hz,              -25.30, dBm,
           165428146,Hz,              -25.06, dBm,
           170761312,Hz,              -24.90, dBm,
           176094478,Hz,              -24.70, dBm,
           181427644,Hz,              -24.54, dBm,
           186760810,Hz,              -24.40, dBm,
           192093976,Hz,              -24.24, dBm,
           197427142,Hz,              -24.10, dBm,
           202760308,Hz,              -23.98, dBm,
           208093474,Hz,              -23.86, dBm,
           213426640,Hz,              -23.75, dBm,
           218759806,Hz,              -23.63, dBm,
           224092972,Hz,              -23.54, dBm,
           229426138,Hz,              -23.45, dBm,
           234759304,Hz,              -23.37, dBm,
           240092470,Hz,              -23.28, dBm,
           245425636,Hz,              -23.18, dBm,
           250758802,Hz,              -23.10, dBm,
           256091968,Hz,              -23.00, dBm,
           261425134,Hz,              -22.92, dBm,
           266758300,Hz,              -22.82, dBm,
           272091466,Hz,              -22.73, dBm,
           277424632,Hz,              -22.62, dBm,
           282757798,Hz,              -22.54, dBm,
           288090964,Hz,              -22.49, dBm,
           293424130,Hz,              -22.42, dBm,
           298757296,Hz,              -22.35, dBm,
           304090462,Hz,              -22.29, dBm,
           309423628,Hz,              -22.22, dBm,
           314756794,Hz,              -22.10, dBm,
           320089960,Hz,              -22.10, dBm,
           325423126,Hz,              -22.06, dBm,
           330756292,Hz,              -22.01, dBm,
           336089458,Hz,              -21.97, dBm,
           341422624,Hz,              -21.91, dBm,
           346755790,Hz,              -21.87, dBm,
           352088956,Hz,              -21.82, dBm,
           357422122,Hz,              -21.81, dBm,
           362755288,Hz,              -21.80, dBm,
           368088454,Hz,              -21.80, dBm,
           373421620,Hz,              -21.80, dBm,
           378754786,Hz,              -21.81, dBm,
           384087952,Hz,              -21.83, dBm,
           389421118,Hz,              -21.85, dBm,
           394754284,Hz,              -21.86, dBm,
           400087450,Hz,              -21.89, dBm,
           405420616,Hz,              -21.89, dBm,
           410753782,Hz,              -21.95, dBm,
           416086948,Hz,              -21.98, dBm,
           421420114,Hz,              -22.01, dBm,
           426753280,Hz,              -22.04, dBm,
           432086446,Hz,              -22.06, dBm,
           437419612,Hz,              -22.08, dBm,
           442752778,Hz,              -22.12, dBm,
           448085944,Hz,              -22.15, dBm,
           453419110,Hz,              -22.17, dBm,
           458752276,Hz,              -22.20, dBm,
           464085442,Hz,              -22.24, dBm,
           469418608,Hz,              -22.27, dBm,
           474751774,Hz,              -22.29, dBm,
           480084940,Hz,              -22.31, dBm,
           485418106,Hz,              -22.35, dBm,
           490751272,Hz,              -22.39, dBm,
           496084438,Hz,              -22.41, dBm,
           501417604,Hz,              -22.45, dBm,
           506750770,Hz,              -22.49, dBm,
           512083936,Hz,              -22.56, dBm,
           517417102,Hz,              -22.61, dBm,
           522750268,Hz,              -22.66, dBm,
           528083434,Hz,              -22.69, dBm,
           533416600,Hz,              -22.76, dBm,
           538749766,Hz,              -22.82, dBm,
           544082932,Hz,              -22.90, dBm,
           549416098,Hz,              -22.97, dBm,
           554749264,Hz,              -23.02, dBm,
           560082430,Hz,              -23.09, dBm,
           565415596,Hz,              -23.11, dBm,
           570748762,Hz,              -23.14, dBm,
           576081928,Hz,              -23.16, dBm,
           581415094,Hz,              -23.21, dBm,
           586748260,Hz,              -23.20, dBm,
           592081426,Hz,              -23.21, dBm,
           597414592,Hz,              -23.20, dBm,
           602747758,Hz,              -23.19, dBm,
           608080924,Hz,              -23.17, dBm,
           613414090,Hz,              -23.16, dBm,
           618747256,Hz,              -23.12, dBm,
           624080422,Hz,              -23.11, dBm,
           629413588,Hz,              -23.05, dBm,
           634746754,Hz,              -23.06, dBm,
           640079920,Hz,              -23.03, dBm,
           645413086,Hz,              -23.01, dBm,
           650746252,Hz,              -22.98, dBm,
           656079418,Hz,              -22.98, dBm,
           661412584,Hz,              -22.95, dBm,
           666745750,Hz,              -22.94, dBm,
           672078916,Hz,              -22.94, dBm,
           677412082,Hz,              -22.94, dBm,
           682745248,Hz,              -22.92, dBm,
           688078414,Hz,              -22.95, dBm,
           693411580,Hz,              -22.94, dBm,
           698744746,Hz,              -22.94, dBm,
           704077912,Hz,              -22.95, dBm,
           709411078,Hz,              -22.95, dBm,
           714744244,Hz,              -22.94, dBm,
           720077410,Hz,              -22.96, dBm,
           725410576,Hz,              -22.92, dBm,
           730743742,Hz,              -22.91, dBm,
           736076908,Hz,              -22.88, dBm,
           741410074,Hz,              -22.86, dBm,
           746743240,Hz,              -22.84, dBm,
           752076406,Hz,              -22.76, dBm,
           757409572,Hz,              -22.73, dBm,
           762742738,Hz,              -22.63, dBm,
           768075904,Hz,              -22.59, dBm,
           773409070,Hz,              -22.50, dBm,
           778742236,Hz,              -22.43, dBm,
           784075402,Hz,              -22.37, dBm,
           789408568,Hz,              -22.28, dBm,
           794741734,Hz,              -22.21, dBm,
           800074900,Hz,              -22.13, dBm,
           805408066,Hz,              -22.05, dBm,
           810741232,Hz,              -22.02, dBm,
           816074398,Hz,              -21.95, dBm,
           821407564,Hz,              -21.91, dBm,
           826740730,Hz,              -21.86, dBm,
           832073896,Hz,              -21.86, dBm,
           837407062,Hz,              -21.83, dBm,
           842740228,Hz,              -21.82, dBm,
           848073394,Hz,              -21.81, dBm,
           853406560,Hz,              -21.82, dBm,
           858739726,Hz,              -21.81, dBm,
           864072892,Hz,              -21.82, dBm,
           869406058,Hz,              -21.84, dBm,
           874739224,Hz,              -21.85, dBm,
           880072390,Hz,              -21.87, dBm,
           885405556,Hz,              -21.89, dBm,
           890738722,Hz,              -21.91, dBm,
           896071888,Hz,              -21.92, dBm,
           901405054,Hz,              -21.92, dBm,
           906738220,Hz,              -21.95, dBm,
           912071386,Hz,              -21.94, dBm,
           917404552,Hz,              -21.91, dBm,
           922737718,Hz,              -21.90, dBm,
           928070884,Hz,              -21.86, dBm,
           933404050,Hz,              -21.82, dBm,
           938737216,Hz,              -21.82, dBm,
           944070382,Hz,              -21.80, dBm,
           949403548,Hz,              -21.79, dBm,
           954736714,Hz,              -21.79, dBm,
           960069880,Hz,              -21.83, dBm,
           965403046,Hz,              -21.86, dBm,
           970736212,Hz,              -21.94, dBm,
           976069378,Hz,              -22.01, dBm,
           981402544,Hz,              -22.12, dBm,
           986735710,Hz,              -22.22, dBm,
           992068876,Hz,              -22.37, dBm,
           997402042,Hz,              -22.49, dBm,
          1002735208,Hz,              -22.59, dBm,
          1008068374,Hz,              -22.70, dBm,
          1013401540,Hz,              -22.84, dBm,
          1018734706,Hz,              -22.97, dBm,
          1024067872,Hz,              -23.13, dBm,
          1029401038,Hz,              -23.30, dBm,
          1034734204,Hz,              -23.48, dBm,
          1040067370,Hz,              -23.64, dBm,
          1045400536,Hz,              -23.80, dBm,
          1050733702,Hz,              -23.99, dBm,
          1056066868,Hz,              -24.14, dBm,
          1061400034,Hz,              -24.31, dBm,
          1066733200,Hz,              -24.49, dBm,
          1072066366,Hz,              -24.66, dBm,
          1077399532,Hz,              -24.83, dBm,
          1082732698,Hz,              -24.97, dBm,
          1088065864,Hz,              -25.14, dBm,
          1093399030,Hz,              -25.35, dBm,
          1098732196,Hz,              -25.57, dBm,
          1104065362,Hz,              -25.78, dBm,
          1109398528,Hz,              -26.03, dBm,
          1114731694,Hz,              -26.29, dBm,
          1120064860,Hz,              -26.54, dBm,
          1125398026,Hz,              -26.83, dBm,
          1130731192,Hz,              -27.06, dBm,
          1136064358,Hz,              -27.44, dBm,
          1141397524,Hz,              -27.77, dBm,
          1146730690,Hz,              -28.14, dBm,
          1152063856,Hz,              -28.54, dBm,
          1157397022,Hz,              -28.93, dBm,
          1162730188,Hz,              -29.46, dBm,
          1168063354,Hz,              -29.96, dBm,
          1173396520,Hz,              -30.43, dBm,
          1178729686,Hz,              -31.10, dBm,
          1184062852,Hz,              -31.71, dBm,
          1189396018,Hz,              -32.35, dBm,
          1194729184,Hz,              -33.10, dBm,
          1200062350,Hz,              -33.88, dBm,
          1205395516,Hz,              -34.76, dBm,
          1210728682,Hz,              -35.60, dBm,
          1216061848,Hz,              -36.78, dBm,
          1221395014,Hz,              -37.86, dBm,
          1226728180,Hz,              -39.41, dBm,
          1232061346,Hz,              -40.82, dBm,
          1237394512,Hz,              -43.11, dBm,
          1242727678,Hz,              -46.03, dBm,
          1248060844,Hz,              -50.48, dBm,
          1253394010,Hz,              -57.43, dBm,
          1258727176,Hz,              -50.09, dBm,
          1264060342,Hz,              -45.83, dBm,
          1269393508,Hz,              -42.84, dBm,
          1274726674,Hz,              -41.08, dBm,
          1280059840,Hz,              -39.24, dBm,
          1285393006,Hz,              -37.88, dBm,
          1290726172,Hz,              -36.58, dBm,
          1296059338,Hz,              -35.67, dBm,
          1301392504,Hz,              -34.59, dBm,
          1306725670,Hz,              -33.84, dBm,
          1312058836,Hz,              -33.12, dBm,
          1317392002,Hz,              -32.36, dBm,
          1322725168,Hz,              -31.83, dBm,
          1328058334,Hz,              -31.23, dBm,
          1333391500,Hz,              -30.70, dBm,
          1338724666,Hz,              -30.10, dBm,
          1344057832,Hz,              -29.67, dBm,
          1349390998,Hz,              -29.22, dBm,
          1354724164,Hz,              -28.77, dBm,
          1360057330,Hz,              -28.38, dBm,
          1365390496,Hz,              -27.93, dBm,
          1370723662,Hz,              -27.54, dBm,
          1376056828,Hz,              -27.12, dBm,
          1381389994,Hz,              -26.78, dBm,
          1386723160,Hz,              -26.46, dBm,
          1392056326,Hz,              -26.07, dBm,
          1397389492,Hz,              -25.78, dBm,
          1402722658,Hz,              -25.48, dBm,
          1408055824,Hz,              -25.16, dBm,
          1413388990,Hz,              -24.90, dBm,
          1418722156,Hz,              -24.64, dBm,
          1424055322,Hz,              -24.43, dBm,
          1429388488,Hz,              -24.20, dBm,
          1434721654,Hz,              -24.02, dBm,
          1440054820,Hz,              -23.86, dBm,
          1445387986,Hz,              -23.70, dBm,
          1450721152,Hz,              -23.59, dBm,
          1456054318,Hz,              -23.46, dBm,
          1461387484,Hz,              -23.38, dBm,
          1466720650,Hz,              -23.25, dBm,
          1472053816,Hz,              -23.18, dBm,
          1477386982,Hz,              -23.08, dBm,
          1482720148,Hz,              -22.96, dBm,
          1488053314,Hz,              -22.89, dBm,
          1493386480,Hz,              -22.77, dBm,
          1498719646,Hz,              -22.67, dBm,
          1504052812,Hz,              -22.56, dBm,
          1509385978,Hz,              -22.44, dBm,
          1514719144,Hz,              -22.31, dBm,
          1520052310,Hz,              -22.14, dBm,
          1525385476,Hz,              -22.03, dBm,
          1530718642,Hz,              -21.87, dBm,
          1536051808,Hz,              -21.76, dBm,
          1541384974,Hz,              -21.64, dBm,
          1546718140,Hz,              -21.52, dBm,
          1552051306,Hz,              -21.41, dBm,
          1557384472,Hz,              -21.32, dBm,
          1562717638,Hz,              -21.25, dBm,
          1568050804,Hz,              -21.18, dBm,
          1573383970,Hz,              -21.15, dBm,
          1578717136,Hz,              -21.13, dBm,
          1584050302,Hz,              -21.10, dBm,
          1589383468,Hz,              -21.11, dBm,
          1594716634,Hz,              -21.11, dBm,
          1600049800,Hz,              -21.13, dBm,
          1605382966,Hz,              -21.14, dBm,
          1610716132,Hz,              -21.18, dBm,
          1616049298,Hz,              -21.23, dBm,
          1621382464,Hz,              -21.27, dBm,
          1626715630,Hz,              -21.31, dBm,
          1632048796,Hz,              -21.33, dBm,
          1637381962,Hz,              -21.35, dBm,
          1642715128,Hz,              -21.34, dBm,
          1648048294,Hz,              -21.36, dBm,
          1653381460,Hz,              -21.36, dBm,
          1658714626,Hz,              -21.33, dBm,
          1664047792,Hz,              -21.31, dBm,
          1669380958,Hz,              -21.30, dBm,
          1674714124,Hz,              -21.27, dBm,
          1680047290,Hz,              -21.24, dBm,
          1685380456,Hz,              -21.23, dBm,
          1690713622,Hz,              -21.20, dBm,
          1696046788,Hz,              -21.20, dBm,
          1701379954,Hz,              -21.21, dBm,
          1706713120,Hz,              -21.23, dBm,
          1712046286,Hz,              -21.25, dBm,
          1717379452,Hz,              -21.34, dBm,
          1722712618,Hz,              -21.41, dBm,
          1728045784,Hz,              -21.51, dBm,
          1733378950,Hz,              -21.64, dBm,
          1738712116,Hz,              -21.73, dBm,
          1744045282,Hz,              -21.86, dBm,
          1749378448,Hz,              -21.99, dBm,
          1754711614,Hz,              -22.13, dBm,
          1760044780,Hz,              -22.28, dBm,
          1765377946,Hz,              -22.39, dBm,
          1770711112,Hz,              -22.53, dBm,
          1776044278,Hz,              -22.60, dBm,
          1781377444,Hz,              -22.73, dBm,
          1786710610,Hz,              -22.83, dBm,
          1792043776,Hz,              -22.87, dBm,
