Trace1,
Freq,,Amp,,
              100000,Hz,                3.61, dBm,
             5433166,Hz,               -0.51, dBm,
            10766332,Hz,               -1.70, dBm,
            16099498,Hz,               -1.75, dBm,
            21432664,Hz,               -1.83, dBm,
            26765830,Hz,               -1.89, dBm,
            32098996,Hz,               -1.93, dBm,
            37432162,Hz,               -1.94, dBm,
            42765328,Hz,               -1.96, dBm,
            48098494,Hz,               -1.92, dBm,
            53431660,Hz,               -1.89, dBm,
            58764826,Hz,               -1.89, dBm,
            64097992,Hz,               -1.83, dBm,
            69431158,Hz,               -1.78, dBm,
            74764324,Hz,               -1.76, dBm,
            80097490,Hz,               -1.75, dBm,
            85430656,Hz,               -1.77, dBm,
            90763822,Hz,               -1.80, dBm,
            96096988,Hz,               -1.86, dBm,
           101430154,Hz,               -1.93, dBm,
           106763320,Hz,               -1.97, dBm,
           112096486,Hz,               -2.02, dBm,
           117429652,Hz,               -2.09, dBm,
           122762818,Hz,               -2.17, dBm,
           128095984,Hz,               -2.25, dBm,
           133429150,Hz,               -2.31, dBm,
           138762316,Hz,               -2.39, dBm,
           144095482,Hz,               -2.45, dBm,
           149428648,Hz,               -2.51, dBm,
           154761814,Hz,               -2.55, dBm,
           160094980,Hz,               -2.62, dBm,
           165428146,Hz,               -2.64, dBm,
           170761312,Hz,               -2.69, dBm,
           176094478,Hz,               -2.72, dBm,
           181427644,Hz,               -2.72, dBm,
           186760810,Hz,               -2.74, dBm,
           192093976,Hz,               -2.74, dBm,
           197427142,Hz,               -2.75, dBm,
           202760308,Hz,               -2.73, dBm,
           208093474,Hz,               -2.71, dBm,
           213426640,Hz,               -2.70, dBm,
           218759806,Hz,               -2.66, dBm,
           224092972,Hz,               -2.63, dBm,
           229426138,Hz,               -2.60, dBm,
           234759304,Hz,               -2.56, dBm,
           240092470,Hz,               -2.53, dBm,
           245425636,Hz,               -2.49, dBm,
           250758802,Hz,               -2.44, dBm,
           256091968,Hz,               -2.42, dBm,
           261425134,Hz,               -2.38, dBm,
           266758300,Hz,               -2.35, dBm,
           272091466,Hz,               -2.32, dBm,
           277424632,Hz,               -2.29, dBm,
           282757798,Hz,               -2.29, dBm,
           288090964,Hz,               -2.33, dBm,
