Trace1,
Freq,,Amp,,
              100000,Hz,               -7.78, dBm,
             5433166,Hz,                6.49, dBm,
            10766332,Hz,                6.18, dBm,
            16099498,Hz,              -12.45, dBm,
            21432664,Hz,               -9.19, dBm,
            26765830,Hz,               -9.36, dBm,
            32098996,Hz,               -9.68, dBm,
            37432162,Hz,              -12.95, dBm,
            42765328,Hz,                2.74, dBm,
            48098494,Hz,                1.09, dBm,
            53431660,Hz,                1.90, dBm,
            58764826,Hz,              -18.52, dBm,
            64097992,Hz,               -9.93, dBm,
            69431158,Hz,               -9.85, dBm,
            74764324,Hz,               -9.84, dBm,
            80097490,Hz,              -14.83, dBm,
            85430656,Hz,                2.39, dBm,
            90763822,Hz,                0.93, dBm,
            96096988,Hz,                1.75, dBm,
           101430154,Hz,              -35.17, dBm,
           106763320,Hz,              -10.04, dBm,
           112096486,Hz,               -9.54, dBm,
           117429652,Hz,               -9.48, dBm,
           122762818,Hz,              -11.52, dBm,
           128095984,Hz,                2.68, dBm,
           133429150,Hz,                1.45, dBm,
           138762316,Hz,                1.78, dBm,
           144095482,Hz,                3.31, dBm,
           149428648,Hz,               -9.41, dBm,
           154761814,Hz,               -9.02, dBm,
           160094980,Hz,               -8.96, dBm,
           165428146,Hz,              -12.33, dBm,
           170761312,Hz,                3.20, dBm,
           176094478,Hz,                1.81, dBm,
           181427644,Hz,                2.35, dBm,
           186760810,Hz,              -17.53, dBm,
           192093976,Hz,               -8.65, dBm,
           197427142,Hz,               -8.60, dBm,
           202760308,Hz,               -8.56, dBm,
           208093474,Hz,              -18.37, dBm,
           213426640,Hz,                3.09, dBm,
           218759806,Hz,                1.97, dBm,
           224092972,Hz,                3.16, dBm,
           229426138,Hz,              -16.61, dBm,
           234759304,Hz,               -8.33, dBm,
           240092470,Hz,               -8.29, dBm,
           245425636,Hz,               -8.26, dBm,
           250758802,Hz,              -14.49, dBm,
           256091968,Hz,                3.69, dBm,
           261425134,Hz,                2.78, dBm,
           266758300,Hz,                3.09, dBm,
           272091466,Hz,              -31.03, dBm,
           277424632,Hz,              -10.14, dBm,
           282757798,Hz,               -8.07, dBm,
           288090964,Hz,               -8.07, dBm,
           293424130,Hz,               -8.07, dBm,
           298757296,Hz,              -25.37, dBm,
           304090462,Hz,                3.52, dBm,
           309423628,Hz,                2.69, dBm,
           314756794,Hz,                3.85, dBm,
           320089960,Hz,              -23.48, dBm,
           325423126,Hz,               -8.04, dBm,
           330756292,Hz,               -7.99, dBm,
           336089458,Hz,               -7.99, dBm,
           341422624,Hz,              -10.62, dBm,
           346755790,Hz,                4.54, dBm,
           352088956,Hz,                3.19, dBm,
           357422122,Hz,                3.01, dBm,
           362755288,Hz,                4.37, dBm,
           368088454,Hz,              -10.55, dBm,
           373421620,Hz,               -8.02, dBm,
           378754786,Hz,               -8.06, dBm,
           384087952,Hz,               -8.21, dBm,
           389421118,Hz,              -23.67, dBm,
           394754284,Hz,                3.25, dBm,
           400087450,Hz,                2.57, dBm,
           405420616,Hz,                3.79, dBm,
           410753782,Hz,              -12.37, dBm,
           416086948,Hz,               -8.21, dBm,
           421420114,Hz,               -8.24, dBm,
           426753280,Hz,               -8.28, dBm,
           432086446,Hz,              -18.22, dBm,
           437419612,Hz,                3.15, dBm,
           442752778,Hz,                2.29, dBm,
           448085944,Hz,                3.45, dBm,
           453419110,Hz,              -15.56, dBm,
           458752276,Hz,               -8.43, dBm,
           464085442,Hz,               -8.45, dBm,
           469418608,Hz,               -8.49, dBm,
           474751774,Hz,              -12.86, dBm,
           480084940,Hz,                3.45, dBm,
           485418106,Hz,                2.22, dBm,
           490751272,Hz,                2.62, dBm,
           496084438,Hz,              -29.02, dBm,
           501417604,Hz,               -8.61, dBm,
           506750770,Hz,               -8.61, dBm,
           512083936,Hz,               -8.64, dBm,
           517417102,Hz,              -11.34, dBm,
           522750268,Hz,                3.55, dBm,
           528083434,Hz,                2.02, dBm,
           533416600,Hz,                2.39, dBm,
           538749766,Hz,                3.70, dBm,
           544082932,Hz,               -9.63, dBm,
           549416098,Hz,               -8.76, dBm,
           554749264,Hz,               -8.79, dBm,
           560082430,Hz,              -10.55, dBm,
           565415596,Hz,                3.48, dBm,
           570748762,Hz,                2.08, dBm,
           576081928,Hz,                2.06, dBm,
           581415094,Hz,              -39.78, dBm,
           586748260,Hz,               -9.49, dBm,
           592081426,Hz,               -8.85, dBm,
           597414592,Hz,               -8.86, dBm,
           602747758,Hz,              -10.76, dBm,
           608080924,Hz,                3.34, dBm,
           613414090,Hz,                1.89, dBm,
           618747256,Hz,                2.32, dBm,
           624080422,Hz,              -39.34, dBm,
           629413588,Hz,               -8.94, dBm,
           634746754,Hz,               -8.94, dBm,
           640079920,Hz,               -8.95, dBm,
           645413086,Hz,              -12.04, dBm,
           650746252,Hz,                3.35, dBm,
           656079418,Hz,                1.75, dBm,
           661412584,Hz,                2.00, dBm,
           666745750,Hz,                3.46, dBm,
           672078916,Hz,              -10.52, dBm,
           677412082,Hz,               -9.00, dBm,
           682745248,Hz,               -9.01, dBm,
           688078414,Hz,               -9.45, dBm,
           693411580,Hz,              -25.03, dBm,
           698744746,Hz,                2.34, dBm,
           704077912,Hz,                1.70, dBm,
           709411078,Hz,                2.80, dBm,
           714744244,Hz,              -17.15, dBm,
           720077410,Hz,               -9.04, dBm,
           725410576,Hz,               -9.04, dBm,
           730743742,Hz,               -9.05, dBm,
           736076908,Hz,              -13.32, dBm,
           741410074,Hz,                2.98, dBm,
           746743240,Hz,                1.56, dBm,
           752076406,Hz,                2.14, dBm,
           757409572,Hz,              -27.62, dBm,
           762742738,Hz,               -9.16, dBm,
           768075904,Hz,               -9.09, dBm,
           773409070,Hz,               -9.09, dBm,
           778742236,Hz,              -10.17, dBm,
           784075402,Hz,                3.30, dBm,
           789408568,Hz,                1.93, dBm,
           794741734,Hz,                1.73, dBm,
           800074900,Hz,                3.01, dBm,
           805408066,Hz,              -14.11, dBm,
           810741232,Hz,               -9.25, dBm,
           816074398,Hz,               -9.26, dBm,
           821407564,Hz,               -9.31, dBm,
           826740730,Hz,              -18.79, dBm,
           832073896,Hz,                2.48, dBm,
           837407062,Hz,                1.34, dBm,
           842740228,Hz,                2.24, dBm,
           848073394,Hz,              -18.40, dBm,
           853406560,Hz,               -9.47, dBm,
           858739726,Hz,               -9.50, dBm,
           864072892,Hz,               -9.51, dBm,
           869406058,Hz,              -12.25, dBm,
           874739224,Hz,                2.67, dBm,
           880072390,Hz,                1.38, dBm,
           885405556,Hz,                2.11, dBm,
           890738722,Hz,              -24.93, dBm,
           896071888,Hz,               -9.71, dBm,
           901405054,Hz,               -9.62, dBm,
           906738220,Hz,               -9.64, dBm,
           912071386,Hz,              -13.20, dBm,
           917404552,Hz,                2.56, dBm,
