Trace1,
Freq,,Amp,,
              100000,Hz,               -3.06, dBm,
             5433166,Hz,                0.57, dBm,
            10766332,Hz,                0.58, dBm,
            16099498,Hz,                1.39, dBm,
            21432664,Hz,               -0.11, dBm,
            26765830,Hz,               -1.89, dBm,
            32098996,Hz,               -2.52, dBm,
            37432162,Hz,               -1.12, dBm,
            42765328,Hz,                0.65, dBm,
            48098494,Hz,                0.91, dBm,
            53431660,Hz,                0.20, dBm,
            58764826,Hz,               -1.21, dBm,
            64097992,Hz,               -2.58, dBm,
            69431158,Hz,               -1.01, dBm,
            74764324,Hz,                0.54, dBm,
            80097490,Hz,                0.69, dBm,
            85430656,Hz,                0.21, dBm,
            90763822,Hz,               -1.43, dBm,
            96096988,Hz,               -2.45, dBm,
           101430154,Hz,               -0.83, dBm,
           106763320,Hz,                0.41, dBm,
           112096486,Hz,                0.31, dBm,
           117429652,Hz,               -0.27, dBm,
           122762818,Hz,               -1.92, dBm,
           128095984,Hz,               -2.67, dBm,
           133429150,Hz,               -1.03, dBm,
           138762316,Hz,                0.03, dBm,
           144095482,Hz,               -0.02, dBm,
           149428648,Hz,               -0.77, dBm,
           154761814,Hz,               -2.40, dBm,
           160094980,Hz,               -2.54, dBm,
           165428146,Hz,               -0.97, dBm,
           170761312,Hz,               -0.24, dBm,
           176094478,Hz,               -0.34, dBm,
           181427644,Hz,               -1.29, dBm,
           186760810,Hz,               -2.88, dBm,
           192093976,Hz,               -2.34, dBm,
           197427142,Hz,               -0.74, dBm,
           202760308,Hz,               -0.31, dBm,
           208093474,Hz,               -0.55, dBm,
           213426640,Hz,               -2.28, dBm,
           218759806,Hz,               -3.68, dBm,
           224092972,Hz,               -2.33, dBm,
           229426138,Hz,               -0.68, dBm,
           234759304,Hz,               -0.32, dBm,
           240092470,Hz,               -0.61, dBm,
           245425636,Hz,               -2.56, dBm,
           250758802,Hz,               -4.59, dBm,
           256091968,Hz,               -4.85, dBm,
           261425134,Hz,               -2.07, dBm,
           266758300,Hz,               -0.52, dBm,
           272091466,Hz,               -0.58, dBm,
           277424632,Hz,               -1.80, dBm,
           282757798,Hz,               -3.81, dBm,
           288090964,Hz,               -2.63, dBm,
           293424130,Hz,               -0.38, dBm,
           298757296,Hz,                0.19, dBm,
           304090462,Hz,               -0.04, dBm,
           309423628,Hz,               -1.82, dBm,
           314756794,Hz,               -3.78, dBm,
           320089960,Hz,               -2.87, dBm,
           325423126,Hz,               -1.27, dBm,
           330756292,Hz,               -1.01, dBm,
           336089458,Hz,               -1.33, dBm,
           341422624,Hz,               -3.13, dBm,
           346755790,Hz,               -4.45, dBm,
           352088956,Hz,               -3.45, dBm,
           357422122,Hz,               -2.52, dBm,
           362755288,Hz,               -2.45, dBm,
           368088454,Hz,               -2.71, dBm,
           373421620,Hz,               -3.85, dBm,
           378754786,Hz,               -3.83, dBm,
           384087952,Hz,               -2.31, dBm,
           389421118,Hz,               -1.58, dBm,
           394754284,Hz,               -1.39, dBm,
           400087450,Hz,               -1.79, dBm,
           405420616,Hz,               -3.44, dBm,
           410753782,Hz,               -3.81, dBm,
           416086948,Hz,               -1.89, dBm,
           421420114,Hz,               -0.78, dBm,
           426753280,Hz,               -0.76, dBm,
           432086446,Hz,               -1.64, dBm,
           437419612,Hz,               -3.62, dBm,
           442752778,Hz,               -4.26, dBm,
           448085944,Hz,               -2.31, dBm,
           453419110,Hz,               -1.23, dBm,
           458752276,Hz,               -1.26, dBm,
           464085442,Hz,               -2.19, dBm,
           469418608,Hz,               -4.05, dBm,
           474751774,Hz,               -4.67, dBm,
           480084940,Hz,               -3.18, dBm,
           485418106,Hz,               -2.11, dBm,
           490751272,Hz,               -2.02, dBm,
           496084438,Hz,               -2.60, dBm,
           501417604,Hz,               -4.04, dBm,
           506750770,Hz,               -3.83, dBm,
           512083936,Hz,               -2.40, dBm,
           517417102,Hz,               -1.58, dBm,
           522750268,Hz,               -1.54, dBm,
           528083434,Hz,               -2.44, dBm,
           533416600,Hz,               -4.08, dBm,
           538749766,Hz,               -3.44, dBm,
           544082932,Hz,               -2.00, dBm,
           549416098,Hz,               -1.51, dBm,
           554749264,Hz,               -1.59, dBm,
           560082430,Hz,               -2.61, dBm,
           565415596,Hz,               -4.11, dBm,
           570748762,Hz,               -3.33, dBm,
           576081928,Hz,               -1.98, dBm,
           581415094,Hz,               -1.72, dBm,
           586748260,Hz,               -1.94, dBm,
           592081426,Hz,               -3.23, dBm,
           597414592,Hz,               -4.38, dBm,
           602747758,Hz,               -3.23, dBm,
           608080924,Hz,               -2.03, dBm,
