Trace1,
Freq,,Amp,,
              100000,Hz,              -32.51, dBm,
             5433166,Hz,              -37.34, dBm,
            10766332,Hz,              -34.12, dBm,
            16099498,Hz,              -31.28, dBm,
            21432664,Hz,              -28.89, dBm,
            26765830,Hz,              -26.85, dBm,
            32098996,Hz,              -25.53, dBm,
            37432162,Hz,              -25.01, dBm,
            42765328,Hz,              -24.60, dBm,
            48098494,Hz,              -23.59, dBm,
            53431660,Hz,              -22.04, dBm,
            58764826,Hz,              -20.67, dBm,
            64097992,Hz,              -19.96, dBm,
            69431158,Hz,              -19.89, dBm,
            74764324,Hz,              -19.96, dBm,
            80097490,Hz,              -19.11, dBm,
            85430656,Hz,              -17.71, dBm,
            90763822,Hz,              -16.57, dBm,
            96096988,Hz,              -16.29, dBm,
           101430154,Hz,              -16.31, dBm,
           106763320,Hz,              -16.86, dBm,
           112096486,Hz,              -16.11, dBm,
           117429652,Hz,              -14.99, dBm,
           122762818,Hz,              -14.29, dBm,
           128095984,Hz,              -14.23, dBm,
           133429150,Hz,              -14.35, dBm,
           138762316,Hz,              -14.69, dBm,
           144095482,Hz,              -13.89, dBm,
           149428648,Hz,              -12.88, dBm,
           154761814,Hz,              -12.10, dBm,
           160094980,Hz,              -11.99, dBm,
           165428146,Hz,              -12.05, dBm,
           170761312,Hz,              -12.94, dBm,
           176094478,Hz,              -12.28, dBm,
           181427644,Hz,              -11.37, dBm,
           186760810,Hz,              -10.89, dBm,
           192093976,Hz,              -10.84, dBm,
           197427142,Hz,              -10.88, dBm,
           202760308,Hz,              -11.75, dBm,
           208093474,Hz,              -11.42, dBm,
           213426640,Hz,              -10.64, dBm,
           218759806,Hz,              -10.20, dBm,
           224092972,Hz,              -10.05, dBm,
           229426138,Hz,              -10.19, dBm,
           234759304,Hz,              -11.18, dBm,
           240092470,Hz,              -11.34, dBm,
           245425636,Hz,              -11.45, dBm,
           250758802,Hz,              -11.66, dBm,
           256091968,Hz,              -11.69, dBm,
           261425134,Hz,              -11.11, dBm,
           266758300,Hz,              -10.46, dBm,
           272091466,Hz,              -10.10, dBm,
           277424632,Hz,               -9.92, dBm,
           282757798,Hz,               -9.92, dBm,
           288090964,Hz,              -10.00, dBm,
           293424130,Hz,              -10.24, dBm,
           298757296,Hz,               -9.74, dBm,
           304090462,Hz,               -9.36, dBm,
           309423628,Hz,               -9.34, dBm,
           314756794,Hz,               -9.67, dBm,
           320089960,Hz,              -10.39, dBm,
           325423126,Hz,              -11.80, dBm,
           330756292,Hz,              -11.86, dBm,
           336089458,Hz,              -10.51, dBm,
           341422624,Hz,              -10.27, dBm,
           346755790,Hz,              -10.37, dBm,
           352088956,Hz,              -11.35, dBm,
           357422122,Hz,              -12.77, dBm,
           362755288,Hz,              -11.80, dBm,
           368088454,Hz,              -10.51, dBm,
           373421620,Hz,               -9.54, dBm,
           378754786,Hz,               -9.42, dBm,
           384087952,Hz,               -9.96, dBm,
           389421118,Hz,              -10.57, dBm,
           394754284,Hz,              -10.38, dBm,
           400087450,Hz,              -10.05, dBm,
           405420616,Hz,               -9.66, dBm,
           410753782,Hz,               -9.63, dBm,
           416086948,Hz,               -9.79, dBm,
           421420114,Hz,              -10.31, dBm,
           426753280,Hz,              -10.10, dBm,
           432086446,Hz,              -10.05, dBm,
           437419612,Hz,              -10.06, dBm,
           442752778,Hz,              -10.21, dBm,
           448085944,Hz,              -10.84, dBm,
           453419110,Hz,              -11.16, dBm,
           458752276,Hz,              -10.74, dBm,
           464085442,Hz,              -10.47, dBm,
           469418608,Hz,              -10.44, dBm,
           474751774,Hz,              -10.55, dBm,
           480084940,Hz,              -11.19, dBm,
           485418106,Hz,              -11.29, dBm,
           490751272,Hz,              -10.66, dBm,
           496084438,Hz,              -10.20, dBm,
           501417604,Hz,              -10.19, dBm,
           506750770,Hz,              -10.41, dBm,
           512083936,Hz,              -11.27, dBm,
           517417102,Hz,              -11.77, dBm,
           522750268,Hz,              -11.21, dBm,
           528083434,Hz,              -10.74, dBm,
           533416600,Hz,              -10.75, dBm,
           538749766,Hz,              -11.06, dBm,
           544082932,Hz,              -11.83, dBm,
           549416098,Hz,              -12.23, dBm,
           554749264,Hz,              -11.56, dBm,
           560082430,Hz,              -11.08, dBm,
           565415596,Hz,              -11.07, dBm,
           570748762,Hz,              -11.41, dBm,
           576081928,Hz,              -12.19, dBm,
           581415094,Hz,              -12.65, dBm,
           586748260,Hz,              -12.02, dBm,
           592081426,Hz,              -11.53, dBm,
           597414592,Hz,              -11.48, dBm,
           602747758,Hz,              -11.68, dBm,
           608080924,Hz,              -12.26, dBm,
           613414090,Hz,              -12.77, dBm,
           618747256,Hz,              -12.30, dBm,
           624080422,Hz,              -11.97, dBm,
           629413588,Hz,              -11.93, dBm,
           634746754,Hz,              -12.00, dBm,
           640079920,Hz,              -12.25, dBm,
           645413086,Hz,              -12.57, dBm,
           650746252,Hz,              -12.46, dBm,
           656079418,Hz,              -12.50, dBm,
           661412584,Hz,              -12.57, dBm,
           666745750,Hz,              -12.67, dBm,
           672078916,Hz,              -12.77, dBm,
           677412082,Hz,              -12.63, dBm,
           682745248,Hz,              -12.60, dBm,
           688078414,Hz,              -12.78, dBm,
           693411580,Hz,              -13.28, dBm,
           698744746,Hz,              -13.57, dBm,
           704077912,Hz,              -13.18, dBm,
           709411078,Hz,              -12.52, dBm,
           714744244,Hz,              -12.40, dBm,
           720077410,Hz,              -12.56, dBm,
           725410576,Hz,              -13.30, dBm,
           730743742,Hz,              -13.97, dBm,
           736076908,Hz,              -13.44, dBm,
           741410074,Hz,              -12.49, dBm,
           746743240,Hz,              -12.21, dBm,
           752076406,Hz,              -12.27, dBm,
           757409572,Hz,              -12.89, dBm,
           762742738,Hz,              -13.82, dBm,
           768075904,Hz,              -13.81, dBm,
           773409070,Hz,              -12.73, dBm,
           778742236,Hz,              -12.35, dBm,
           784075402,Hz,              -12.37, dBm,
           789408568,Hz,              -12.72, dBm,
           794741734,Hz,              -13.52, dBm,
           800074900,Hz,              -14.28, dBm,
           805408066,Hz,              -13.77, dBm,
           810741232,Hz,              -13.34, dBm,
           816074398,Hz,              -13.30, dBm,
           821407564,Hz,              -13.42, dBm,
           826740730,Hz,              -13.83, dBm,
           832073896,Hz,              -14.21, dBm,
           837407062,Hz,              -14.47, dBm,
           842740228,Hz,              -14.77, dBm,
           848073394,Hz,              -14.83, dBm,
           853406560,Hz,              -14.59, dBm,
           858739726,Hz,              -14.36, dBm,
           864072892,Hz,              -14.29, dBm,
           869406058,Hz,              -14.38, dBm,
           874739224,Hz,              -15.08, dBm,
           880072390,Hz,              -16.23, dBm,
           885405556,Hz,              -16.07, dBm,
           890738722,Hz,              -15.08, dBm,
           896071888,Hz,              -14.59, dBm,
           901405054,Hz,              -14.60, dBm,
           906738220,Hz,              -15.27, dBm,
           912071386,Hz,              -16.98, dBm,
           917404552,Hz,              -18.76, dBm,
           922737718,Hz,              -17.54, dBm,
           928070884,Hz,              -16.32, dBm,
           933404050,Hz,              -16.12, dBm,
           938737216,Hz,              -16.24, dBm,
           944070382,Hz,              -17.09, dBm,
           949403548,Hz,              -18.34, dBm,
           954736714,Hz,              -19.30, dBm,
           960069880,Hz,              -17.88, dBm,
           965403046,Hz,              -17.47, dBm,
           970736212,Hz,              -17.48, dBm,
           976069378,Hz,              -17.71, dBm,
           981402544,Hz,              -18.30, dBm,
           986735710,Hz,              -19.31, dBm,
           992068876,Hz,              -20.53, dBm,
           997402042,Hz,              -19.89, dBm,
          1002735208,Hz,              -19.19, dBm,
          1008068374,Hz,              -18.73, dBm,
          1013401540,Hz,              -18.66, dBm,
          1018734706,Hz,              -18.87, dBm,
          1024067872,Hz,              -20.17, dBm,
          1029401038,Hz,              -22.29, dBm,
          1034734204,Hz,              -21.28, dBm,
          1040067370,Hz,              -19.77, dBm,
          1045400536,Hz,              -18.95, dBm,
          1050733702,Hz,              -18.84, dBm,
          1056066868,Hz,              -19.41, dBm,
          1061400034,Hz,              -21.62, dBm,
          1066733200,Hz,              -23.47, dBm,
          1072066366,Hz,              -21.39, dBm,
          1077399532,Hz,              -19.89, dBm,
          1082732698,Hz,              -19.67, dBm,
          1088065864,Hz,              -19.93, dBm,
          1093399030,Hz,              -21.45, dBm,
          1098732196,Hz,              -23.71, dBm,
          1104065362,Hz,              -24.14, dBm,
          1109398528,Hz,              -22.17, dBm,
          1114731694,Hz,              -21.43, dBm,
          1120064860,Hz,              -21.37, dBm,
          1125398026,Hz,              -21.86, dBm,
          1130731192,Hz,              -23.10, dBm,
          1136064358,Hz,              -24.91, dBm,
          1141397524,Hz,              -26.22, dBm,
          1146730690,Hz,              -25.05, dBm,
          1152063856,Hz,              -24.47, dBm,
          1157397022,Hz,              -24.33, dBm,
          1162730188,Hz,              -24.53, dBm,
          1168063354,Hz,              -25.30, dBm,
          1173396520,Hz,              -26.93, dBm,
          1178729686,Hz,              -29.43, dBm,
          1184062852,Hz,              -28.96, dBm,
          1189396018,Hz,              -27.79, dBm,
          1194729184,Hz,              -27.41, dBm,
          1200062350,Hz,              -27.45, dBm,
          1205395516,Hz,              -28.33, dBm,
          1210728682,Hz,              -30.97, dBm,
          1216061848,Hz,              -35.04, dBm,
          1221395014,Hz,              -35.76, dBm,
          1226728180,Hz,              -34.36, dBm,
          1232061346,Hz,              -34.07, dBm,
          1237394512,Hz,              -34.70, dBm,
          1242727678,Hz,              -37.37, dBm,
          1248060844,Hz,              -42.32, dBm,
          1253394010,Hz,              -47.83, dBm,
          1258727176,Hz,              -43.18, dBm,
          1264060342,Hz,              -40.53, dBm,
          1269393508,Hz,              -38.76, dBm,
          1274726674,Hz,              -36.41, dBm,
          1280059840,Hz,              -34.48, dBm,
          1285393006,Hz,              -32.38, dBm,
          1290726172,Hz,              -30.74, dBm,
          1296059338,Hz,              -29.64, dBm,
          1301392504,Hz,              -29.19, dBm,
          1306725670,Hz,              -28.60, dBm,
          1312058836,Hz,              -27.80, dBm,
          1317392002,Hz,              -26.83, dBm,
          1322725168,Hz,              -26.10, dBm,
          1328058334,Hz,              -25.94, dBm,
          1333391500,Hz,              -25.94, dBm,
          1338724666,Hz,              -25.31, dBm,
          1344057832,Hz,              -24.19, dBm,
          1349390998,Hz,              -23.13, dBm,
          1354724164,Hz,              -22.56, dBm,
          1360057330,Hz,              -22.53, dBm,
          1365390496,Hz,              -22.78, dBm,
          1370723662,Hz,              -23.57, dBm,
          1376056828,Hz,              -23.02, dBm,
          1381389994,Hz,              -21.65, dBm,
          1386723160,Hz,              -20.63, dBm,
          1392056326,Hz,              -20.36, dBm,
          1397389492,Hz,              -20.42, dBm,
          1402722658,Hz,              -20.89, dBm,
          1408055824,Hz,              -21.60, dBm,
          1413388990,Hz,              -20.95, dBm,
          1418722156,Hz,              -19.73, dBm,
          1424055322,Hz,              -19.11, dBm,
          1429388488,Hz,              -18.96, dBm,
          1434721654,Hz,              -18.95, dBm,
          1440054820,Hz,              -19.06, dBm,
          1445387986,Hz,              -19.35, dBm,
          1450721152,Hz,              -19.83, dBm,
          1456054318,Hz,              -19.63, dBm,
          1461387484,Hz,              -18.94, dBm,
          1466720650,Hz,              -18.18, dBm,
          1472053816,Hz,              -17.65, dBm,
          1477386982,Hz,              -17.54, dBm,
          1482720148,Hz,              -17.65, dBm,
          1488053314,Hz,              -18.64, dBm,
          1493386480,Hz,              -19.63, dBm,
          1498719646,Hz,              -18.38, dBm,
          1504052812,Hz,              -17.05, dBm,
          1509385978,Hz,              -16.16, dBm,
          1514719144,Hz,              -16.11, dBm,
          1520052310,Hz,              -16.54, dBm,
          1525385476,Hz,              -18.28, dBm,
          1530718642,Hz,              -19.99, dBm,
          1536051808,Hz,              -18.26, dBm,
          1541384974,Hz,              -16.36, dBm,
          1546718140,Hz,              -15.62, dBm,
          1552051306,Hz,              -15.64, dBm,
          1557384472,Hz,              -16.31, dBm,
          1562717638,Hz,              -17.88, dBm,
          1568050804,Hz,              -19.41, dBm,
          1573383970,Hz,              -18.30, dBm,
          1578717136,Hz,              -16.52, dBm,
          1584050302,Hz,              -15.87, dBm,
          1589383468,Hz,              -15.86, dBm,
          1594716634,Hz,              -16.26, dBm,
          1600049800,Hz,              -17.10, dBm,
          1605382966,Hz,              -18.10, dBm,
          1610716132,Hz,              -17.96, dBm,
          1616049298,Hz,              -16.78, dBm,
          1621382464,Hz,              -16.21, dBm,
          1626715630,Hz,              -16.14, dBm,
          1632048796,Hz,              -16.14, dBm,
          1637381962,Hz,              -16.34, dBm,
          1642715128,Hz,              -16.84, dBm,
          1648048294,Hz,              -17.64, dBm,
          1653381460,Hz,              -17.83, dBm,
          1658714626,Hz,              -16.90, dBm,
          1664047792,Hz,              -16.14, dBm,
          1669380958,Hz,              -15.78, dBm,
          1674714124,Hz,              -15.74, dBm,
          1680047290,Hz,              -16.03, dBm,
          1685380456,Hz,              -17.05, dBm,
          1690713622,Hz,              -18.37, dBm,
          1696046788,Hz,              -17.51, dBm,
          1701379954,Hz,              -16.38, dBm,
          1706713120,Hz,              -15.84, dBm,
          1712046286,Hz,              -15.83, dBm,
          1717379452,Hz,              -16.19, dBm,
          1722712618,Hz,              -17.24, dBm,
          1728045784,Hz,              -18.38, dBm,
          1733378950,Hz,              -17.88, dBm,
          1738712116,Hz,              -16.74, dBm,
          1744045282,Hz,              -16.32, dBm,
          1749378448,Hz,              -16.32, dBm,
          1754711614,Hz,              -16.56, dBm,
          1760044780,Hz,              -17.09, dBm,
          1765377946,Hz,              -17.67, dBm,
          1770711112,Hz,              -17.70, dBm,
          1776044278,Hz,              -17.36, dBm,
          1781377444,Hz,              -17.11, dBm,
          1786710610,Hz,              -16.95, dBm,
          1792043776,Hz,              -16.75, dBm,
          1797376942,Hz,              -16.53, dBm,
          1802710108,Hz,              -16.52, dBm,
          1808043274,Hz,              -16.81, dBm,
          1813376440,Hz,              -17.62, dBm,
          1818709606,Hz,              -17.76, dBm,
          1824042772,Hz,              -17.03, dBm,
          1829375938,Hz,              -16.21, dBm,
          1834709104,Hz,              -15.89, dBm,
          1840042270,Hz,              -15.93, dBm,
          1845375436,Hz,              -16.87, dBm,
          1850708602,Hz,              -18.44, dBm,
          1856041768,Hz,              -18.58, dBm,
          1861374934,Hz,              -17.18, dBm,
          1866708100,Hz,              -16.22, dBm,
          1872041266,Hz,              -16.12, dBm,
          1877374432,Hz,              -16.29, dBm,
          1882707598,Hz,              -17.30, dBm,
          1888040764,Hz,              -18.76, dBm,
          1893373930,Hz,              -18.87, dBm,
          1898707096,Hz,              -17.52, dBm,
          1904040262,Hz,              -16.68, dBm,
          1909373428,Hz,              -16.49, dBm,
          1914706594,Hz,              -16.57, dBm,
          1920039760,Hz,              -17.20, dBm,
          1925372926,Hz,              -18.12, dBm,
          1930706092,Hz,              -19.00, dBm,
          1936039258,Hz,              -18.37, dBm,
          1941372424,Hz,              -17.30, dBm,
          1946705590,Hz,              -16.72, dBm,
          1952038756,Hz,              -16.62, dBm,
          1957371922,Hz,              -16.66, dBm,
          1962705088,Hz,              -17.24, dBm,
          1968038254,Hz,              -18.36, dBm,
          1973371420,Hz,              -18.92, dBm,
          1978704586,Hz,              -17.70, dBm,
          1984037752,Hz,              -16.72, dBm,
          1989370918,Hz,              -16.50, dBm,
          1994704084,Hz,              -16.56, dBm,
          2000037250,Hz,              -17.32, dBm,
          2005370416,Hz,              -18.60, dBm,
          2010703582,Hz,              -19.37, dBm,
          2016036748,Hz,              -17.86, dBm,
          2021369914,Hz,              -16.74, dBm,
          2026703080,Hz,              -16.59, dBm,
          2032036246,Hz,              -16.70, dBm,
          2037369412,Hz,              -17.39, dBm,
          2042702578,Hz,              -18.47, dBm,
          2048035744,Hz,              -19.46, dBm,
          2053368910,Hz,              -18.57, dBm,
          2058702076,Hz,              -17.78, dBm,
          2064035242,Hz,              -17.63, dBm,
          2069368408,Hz,              -17.62, dBm,
          2074701574,Hz,              -17.91, dBm,
          2080034740,Hz,              -18.34, dBm,
          2085367906,Hz,              -18.93, dBm,
          2090701072,Hz,              -19.66, dBm,
          2096034238,Hz,              -19.19, dBm,
          2101367404,Hz,              -18.55, dBm,
          2106700570,Hz,              -18.08, dBm,
          2112033736,Hz,              -17.84, dBm,
          2117366902,Hz,              -17.81, dBm,
          2122700068,Hz,              -18.21, dBm,
          2128033234,Hz,              -19.37, dBm,
          2133366400,Hz,              -19.87, dBm,
          2138699566,Hz,              -18.62, dBm,
          2144032732,Hz,              -17.52, dBm,
          2149365898,Hz,              -16.95, dBm,
          2154699064,Hz,              -16.92, dBm,
          2160032230,Hz,              -17.34, dBm,
          2165365396,Hz,              -18.88, dBm,
          2170698562,Hz,              -20.48, dBm,
          2176031728,Hz,              -18.93, dBm,
          2181364894,Hz,              -17.58, dBm,
          2186698060,Hz,              -17.05, dBm,
          2192031226,Hz,              -17.02, dBm,
          2197364392,Hz,              -17.62, dBm,
          2202697558,Hz,              -19.06, dBm,
          2208030724,Hz,              -20.54, dBm,
          2213363890,Hz,              -19.38, dBm,
          2218697056,Hz,              -18.22, dBm,
          2224030222,Hz,              -17.88, dBm,
          2229363388,Hz,              -17.89, dBm,
          2234696554,Hz,              -18.33, dBm,
          2240029720,Hz,              -19.24, dBm,
          2245362886,Hz,              -20.41, dBm,
          2250696052,Hz,              -20.49, dBm,
          2256029218,Hz,              -19.69, dBm,
          2261362384,Hz,              -19.16, dBm,
          2266695550,Hz,              -18.97, dBm,
          2272028716,Hz,              -19.00, dBm,
          2277361882,Hz,              -19.38, dBm,
          2282695048,Hz,              -20.53, dBm,
          2288028214,Hz,              -22.17, dBm,
          2293361380,Hz,              -22.17, dBm,
          2298694546,Hz,              -20.94, dBm,
          2304027712,Hz,              -20.15, dBm,
          2309360878,Hz,              -20.08, dBm,
          2314694044,Hz,              -20.38, dBm,
          2320027210,Hz,              -21.88, dBm,
          2325360376,Hz,              -23.87, dBm,
          2330693542,Hz,              -23.96, dBm,
          2336026708,Hz,              -22.38, dBm,
          2341359874,Hz,              -21.56, dBm,
          2346693040,Hz,              -21.55, dBm,
          2352026206,Hz,              -22.29, dBm,
          2357359372,Hz,              -24.04, dBm,
          2362692538,Hz,              -25.65, dBm,
          2368025704,Hz,              -25.84, dBm,
          2373358870,Hz,              -24.71, dBm,
          2378692036,Hz,              -24.46, dBm,
          2384025202,Hz,              -24.63, dBm,
          2389358368,Hz,              -25.79, dBm,
          2394691534,Hz,              -27.15, dBm,
          2400024700,Hz,              -28.08, dBm,
          2405357866,Hz,              -28.00, dBm,
          2410691032,Hz,              -27.90, dBm,
          2416024198,Hz,              -28.17, dBm,
          2421357364,Hz,              -29.04, dBm,
          2426690530,Hz,              -30.24, dBm,
          2432023696,Hz,              -30.95, dBm,
          2437356862,Hz,              -30.87, dBm,
          2442690028,Hz,              -30.86, dBm,
          2448023194,Hz,              -31.27, dBm,
          2453356360,Hz,              -33.12, dBm,
          2458689526,Hz,              -35.68, dBm,
          2464022692,Hz,              -37.44, dBm,
          2469355858,Hz,              -36.54, dBm,
          2474689024,Hz,              -35.93, dBm,
          2480022190,Hz,              -35.94, dBm,
          2485355356,Hz,              -36.87, dBm,
          2490688522,Hz,              -40.35, dBm,
          2496021688,Hz,              -45.49, dBm,
          2501354854,Hz,              -47.68, dBm,
          2506688020,Hz,              -44.68, dBm,
          2512021186,Hz,              -44.42, dBm,
          2517354352,Hz,              -45.76, dBm,
          2522687518,Hz,              -49.14, dBm,
          2528020684,Hz,              -40.27, dBm,
          2533353850,Hz,              -36.70, dBm,
          2538687016,Hz,              -34.99, dBm,
          2544020182,Hz,              -34.66, dBm,
          2549353348,Hz,              -34.78, dBm,
          2554686514,Hz,              -35.92, dBm,
          2560019680,Hz,              -37.85, dBm,
          2565352846,Hz,              -34.87, dBm,
